Year,sample_date,date,race,name,place,time_m,time_s,avg_yr_time_s,supershoe_era,frac_year,gender,elevation_gain_m,elevation_loss_m,net_elevation_m,temp_at_start_c,wind_direction,wind_mph,rainy_y_or_n,"stack data, code supershoe_era, weather variables, elevation",
2018,1-Jan,16-Apr,Boston,Desiree Linden,1,2:39:54,9594,9862,1,2018.29,1,248,388,-140,6,NE,14,Y,,
2018,1-Jan,16-Apr,Boston,Sarah Sellers,2,2:44:04,9844,,1,2018.29,1,248,388,-140,6,NE,14,Y,,
2018,1-Jan,16-Apr,Boston,Krista Duchene,3,2:44:20,9860,,1,2018.29,1,248,388,-140,6,NE,14,Y,,
2018,1-Jan,16-Apr,Boston,Rachel Hyland,4,2:44:29,9869,,1,2018.29,1,248,388,-140,6,NE,14,Y,,
2018,1-Jan,16-Apr,Boston,Jessica Chichester,5,2:45:23,9923,,1,2018.29,1,248,388,-140,6,NE,14,Y,,
2018,1-Jan,16-Apr,Boston,Nicole Dimercurio,6,2:45:52,9952,,1,2018.29,1,248,388,-140,6,NE,14,Y,,
2018,1-Jan,16-Apr,Boston,Shalane Flanagan,7,2:46:31,9991,,1,2018.29,1,248,388,-140,6,NE,14,Y,,
2019,1-Jan,15-Apr,Boston,Worknesh Degefa,1,2:23:31,8611,8766,1,2019.29,1,248,388,-140,14,SSE,5,Y,,
2019,1-Jan,15-Apr,Boston,Edna Kiplagat,2,2:24:13,8653,,1,2019.29,1,248,388,-140,14,SSE,5,Y,,
2019,1-Jan,15-Apr,Boston,Jordan Hasay,3,2:25:20,8720,,1,2019.29,1,248,388,-140,14,SSE,5,Y,,
2019,1-Jan,15-Apr,Boston,Meskrem Assefa,4,2:25:40,8740,,1,2019.29,1,248,388,-140,14,SSE,5,Y,,
2019,1-Jan,15-Apr,Boston,Desiree Linden,5,2:27:00,8820,,1,2019.29,1,248,388,-140,14,SSE,5,Y,,
2019,1-Jan,15-Apr,Boston,Caroline Rotich,6,2:28:27,8907,,1,2019.29,1,248,388,-140,14,SSE,5,Y,,
2019,1-Jan,15-Apr,Boston,Mary Ngugi,7,2:28:33,8913,,1,2019.29,1,248,388,-140,14,SSE,5,Y,,
2021,1-Jan,11-Oct,Boston,Diana Kipyokei,1,2:24:45,8685,8758,1,2021.78,1,248,388,-140,16,NE,6,N,,
2021,1-Jan,11-Oct,Boston,Edna Kiplagat,2,2:25:09,8709,,1,2021.78,1,248,388,-140,16,NE,6,N,,
2021,1-Jan,11-Oct,Boston,Mary Ngugi,3,2:25:20,8720,,1,2021.78,1,248,388,-140,16,NE,6,N,,
2021,1-Jan,11-Oct,Boston,Monicah Ngige,4,2:25:32,8732,,1,2021.78,1,248,388,-140,16,NE,6,N,,
2021,1-Jan,11-Oct,Boston,Netsanet Gudeta,5,2:26:09,8769,,1,2021.78,1,248,388,-140,16,NE,6,N,,
2021,1-Jan,11-Oct,Boston,Nell Rojas,6,2:27:12,8832,,1,2021.78,1,248,388,-140,16,NE,6,N,,
2021,1-Jan,11-Oct,Boston,Worknesh Edesa,7,2:27:38,8858,,1,2021.78,1,248,388,-140,16,NE,6,N,,
2022,1-Jan,18-Apr,Boston,Peres Jepchirchir,1,2:21:01,8461,8537,1,2022.30,1,248,388,-140,8,NE,6,N,,
2022,1-Jan,18-Apr,Boston,Abadel Yashaneh,2,2:21:05,8465,,1,2022.30,1,248,388,-140,8,NE,6,N,,
2022,1-Jan,18-Apr,Boston,Mary Ngugi,3,2:21:32,8492,,1,2022.30,1,248,388,-140,8,NE,6,N,,
2022,1-Jan,18-Apr,Boston,Edna Kiplagat,4,2:21:40,8500,,1,2022.30,1,248,388,-140,8,NE,6,N,,
2022,1-Jan,18-Apr,Boston,Monicah Ngige,5,2:22:13,8533,,1,2022.30,1,248,388,-140,8,NE,6,N,,
2022,1-Jan,18-Apr,Boston,Viola Cheptoo,6,2:23:47,8627,,1,2022.30,1,248,388,-140,8,NE,6,N,,
2022,1-Jan,18-Apr,Boston,Joyciline Jepkosgei,7,2:24:43,8683,,1,2022.30,1,248,388,-140,8,NE,6,N,,
2023,1-Jan,17-Apr,Boston,Hellen Obiri,1,2:21:38,8498,8547,1,2023.29,1,248,388,-140,9,ENE,9,N,,
2023,1-Jan,17-Apr,Boston,Amane Deriso,2,2:21:50,8510,,1,2023.29,1,248,388,-140,9,ENE,9,N,,
2023,1-Jan,17-Apr,Boston,Lonah Salpeter,3,2:21:57,8517,,1,2023.29,1,248,388,-140,9,ENE,9,N,,
2023,1-Jan,17-Apr,Boston,Abadel Yeshaneh,4,2:22:00,8520,,1,2023.29,1,248,388,-140,9,ENE,9,N,,
2023,1-Jan,17-Apr,Boston,Emma Bates,5,2:22:10,8530,,1,2023.29,1,248,388,-140,9,ENE,9,N,,
2023,1-Jan,17-Apr,Boston,Nazret Weldu,6,2:23:25,8605,,1,2023.29,1,248,388,-140,9,ENE,9,N,,
2023,1-Jan,17-Apr,Boston,Angela Tanui,7,2:24:12,8652,,1,2023.29,1,248,388,-140,9,ENE,9,N,,
2024,1-Jan,15-Apr,Boston,Hellen Obiri,1,2:22:37,8557,8623,1,2024.29,1,248,388,-140,13,ESE,5,N,,
2024,1-Jan,15-Apr,Boston,Sharon Lokedi,2,2:22:45,8565,,1,2024.29,1,248,388,-140,13,ESE,5,N,,
2024,1-Jan,15-Apr,Boston,Edna Kiplagat,3,2:23:21,8601,,1,2024.29,1,248,388,-140,13,ESE,5,N,,
2024,1-Jan,15-Apr,Boston,Buze Diriba,4,2:24:04,8644,,1,2024.29,1,248,388,-140,13,ESE,5,N,,
2024,1-Jan,15-Apr,Boston,Senbere Teferi,5,2:24:04,8644,,1,2024.29,1,248,388,-140,13,ESE,5,N,,
2024,1-Jan,15-Apr,Boston,Mary Ngugi,6,2:24:24,8664,,1,2024.29,1,248,388,-140,13,ESE,5,N,,
2024,1-Jan,15-Apr,Boston,Worknesh Edesa,7,2:24:47,8687,,1,2024.29,1,248,388,-140,13,ESE,5,N,,
2010,1-Jan,25-Apr,London,Liliya Shobukhova,1,2:22:00,8520,8615,0,2010.32,1,127,161,-34,12,NE,5,N,,
2010,1-Jan,25-Apr,London,Inga Abitova,2,2:22:19,8539,,0,2010.32,1,127,161,-34,12,NE,5,N,,
2010,1-Jan,25-Apr,London,Aselefech Mergia,3,2:22:38,8558,,0,2010.32,1,127,161,-34,12,NE,5,N,,
2010,1-Jan,25-Apr,London,Bezunesh Bekele,4,2:23:17,8597,,0,2010.32,1,127,161,-34,12,NE,5,N,,
2010,1-Jan,25-Apr,London,Askale Tafa,5,2:24:39,8679,,0,2010.32,1,127,161,-34,12,NE,5,N,,
2010,1-Jan,25-Apr,London,Yukiko Akaba,6,2:24:55,8695,,0,2010.32,1,127,161,-34,12,NE,5,N,,
2010,1-Jan,25-Apr,London,Xue Bai,7,2:25:18,8718,,0,2010.32,1,127,161,-34,12,NE,5,N,,
2011,1-Jan,17-Apr,London,Mary Keitany,1,2:19:19,8359,8541,0,2011.29,1,127,161,-34,14,SW,2,N,,
2011,1-Jan,17-Apr,London,Liliya Shobukhova,2,2:20:15,8415,,0,2011.29,1,127,161,-34,14,SW,2,N,,
2011,1-Jan,17-Apr,London,Edna Kiplagat,3,2:20:46,8446,,0,2011.29,1,127,161,-34,14,SW,2,N,,
2011,1-Jan,17-Apr,London,Bezunesh Bekele,4,2:23:42,8622,,0,2011.29,1,127,161,-34,14,SW,2,N,,
2011,1-Jan,17-Apr,London,Atsede Baysa,5,2:23:50,8630,,0,2011.29,1,127,161,-34,14,SW,2,N,,
2011,1-Jan,17-Apr,London,Yukiko Akaba,6,2:24:09,8649,,0,2011.29,1,127,161,-34,14,SW,2,N,,
2011,1-Jan,17-Apr,London,Irina Miketenko,7,2:24:24,8664,,0,2011.29,1,127,161,-34,14,SW,2,N,,
2012,1-Jan,22-Apr,London,Mary Keitany,1,2:18:37,8317,8542,0,2012.31,1,127,161,-34,11,E,10,N,,
2012,1-Jan,22-Apr,London,Edna Kiplagat,2,2:19:50,8390,,0,2012.31,1,127,161,-34,11,E,10,N,,
2012,1-Jan,22-Apr,London,Priscah Jeptoo,3,2:20:57,8457,,0,2012.31,1,127,161,-34,11,E,10,N,,
2012,1-Jan,22-Apr,London,Florence Kiplagat,4,2:23:12,8592,,0,2012.31,1,127,161,-34,11,E,10,N,,
2012,1-Jan,22-Apr,London,Lucy Kabuu,5,2:24:04,8644,,0,2012.31,1,127,161,-34,11,E,10,N,,
2012,1-Jan,22-Apr,London,Aberu Kebede,6,2:24:53,8693,,0,2012.31,1,127,161,-34,11,E,10,N,,
2012,1-Jan,22-Apr,London,Irina Miketenko,7,2:24:59,8699,,0,2012.31,1,127,161,-34,11,E,10,N,,
2013,1-Jan,21-Apr,London,Priscah Jeptoo,1,2:20:15,8415,8685,0,2013.31,1,127,161,-34,9,E,5,N,,
2013,1-Jan,21-Apr,London,Edna Kiplagat,2,2:21:32,8492,,0,2013.31,1,127,161,-34,9,E,5,N,,
2013,1-Jan,21-Apr,London,Yukiko Akaba,3,2:24:43,8683,,0,2013.31,1,127,161,-34,9,E,5,N,,
2013,1-Jan,21-Apr,London,Atsede Baysa,4,2:25:14,8714,,0,2013.31,1,127,161,-34,9,E,5,N,,
2013,1-Jan,21-Apr,London,Meselech Melkamu,5,2:25:46,8746,,0,2013.31,1,127,161,-34,9,E,5,N,,
2013,1-Jan,21-Apr,London,Florence Kiplagat,6,2:27:05,8825,,0,2013.31,1,127,161,-34,9,E,5,N,,
2013,1-Jan,21-Apr,London,Mai Ito,7,2:28:37,8917,,0,2013.31,1,127,161,-34,9,E,5,N,,
2014,1-Jan,13-Apr,London,Edna Kiplagat,1,2:20:21,8421,8540,0,2014.28,1,127,161,-34,11,SW,9,N,,
2014,1-Jan,13-Apr,London,Florence Kiplagat,2,2:20:24,8424,,0,2014.28,1,127,161,-34,11,SW,9,N,,
2014,1-Jan,13-Apr,London,Tirunesh Dibaba,3,2:20:35,8435,,0,2014.28,1,127,161,-34,11,SW,9,N,,
2014,1-Jan,13-Apr,London,Feyse Tadese,4,2:21:42,8502,,0,2014.28,1,127,161,-34,11,SW,9,N,,
2014,1-Jan,13-Apr,London,Aberu Kebede,5,2:23:21,8601,,0,2014.28,1,127,161,-34,11,SW,9,N,,
2014,1-Jan,13-Apr,London,Jessica Augusto,6,2:24:25,8665,,0,2014.28,1,127,161,-34,11,SW,9,N,,
2014,1-Jan,13-Apr,London,Tetyana Gamera-Shmykro,7,2:25:30,8730,,0,2014.28,1,127,161,-34,11,SW,9,N,,
2015,1-Jan,26-Apr,London,Tigist Tufa,1,2:23:22,8602,8642,0,2015.32,1,127,161,-34,8,SW,11,N,,
2015,1-Jan,26-Apr,London,Mary Keitany,2,2:23:40,8620,,0,2015.32,1,127,161,-34,8,SW,11,N,,
2015,1-Jan,26-Apr,London,Tiri Tsedgaye,3,2:23:41,8621,,0,2015.32,1,127,161,-34,8,SW,11,N,,
2015,1-Jan,26-Apr,London,Aselefech Mergia,4,2:23:53,8633,,0,2015.32,1,127,161,-34,8,SW,11,N,,
2015,1-Jan,26-Apr,London,Florence Kiplagat,5,2:24:15,8655,,0,2015.32,1,127,161,-34,8,SW,11,N,,
2015,1-Jan,26-Apr,London,Jemima Jelagat Sumgong,6,2:24:23,8663,,0,2015.32,1,127,161,-34,8,SW,11,N,,
2015,1-Jan,26-Apr,London,Priscah Jeptoo,7,2:25:01,8701,,0,2015.32,1,127,161,-34,8,SW,11,N,,
2016,1-Jan,24-Apr,London,Jemima Jelagat Sumgong,1,2:22:28,8548,8625,0,2016.31,1,127,161,-34,7,SSE,11,N,,
2016,1-Jan,24-Apr,London,Tigist Tufa,2,2:23:03,8583,,0,2016.31,1,127,161,-34,7,SSE,11,N,,
2016,1-Jan,24-Apr,London,Florence Kiplagat,3,2:23:39,8619,,0,2016.31,1,127,161,-34,7,SSE,11,N,,
2016,1-Jan,24-Apr,London,Volha Mazuronak,4,2:23:54,8634,,0,2016.31,1,127,161,-34,7,SSE,11,N,,
2016,1-Jan,24-Apr,London,Aselefech Mergia,5,2:23:57,8637,,0,2016.31,1,127,161,-34,7,SSE,11,N,,
2016,1-Jan,24-Apr,London,Mare Dibaba,6,2:24:09,8649,,0,2016.31,1,127,161,-34,7,SSE,11,N,,
